CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
"Aarhus University, Denmark ",Skomagerkrogen,DK,North-east Atlantic Ocean,100,Rural,Sandy,20180913,Monitoring,,12.091032738368664,55.670067252968856,12.09031658705112,55.670871985700686,,,11,,1,,,1,,,,,,,,,,11,2,9,2,33,3,1,,,43,4,1,2,,7,,1,,,,,,,,,,9,,,,,,,,,,,,,3,,,,7,,,5,,,262,,2,,,,,6,,,,30,,,17,33,,,,,1,,,3,,,,,,1,,,,2,,,,,,,3,1,,,,1,,,,,17,,1,,,,,,,,,12,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
gBqsPxAZ,Dead Man's,IE,North-east Atlantic Ocean,143,,,20160112,Cleanup,,-9.03588467690671,53.2693968896887,-9.033836518058918,53.26896279721822,,1,9,,13,4,1,14,,3,,1,,,1,,,4,,,,,1,0,,,6,,2,21,2,1,,,1,,,,,3,,,4,8,,3,,,,,,,1,,,,1,1,,,1,2,1,1,27,,,,3,,,,,,,,,,,,0,97,,,,3,,,5,,1,,,,,,,3,,10,,,,,,,,0,,,,1,,1,,,,,,,,,,,,,,,,,155,,5,1,,,,,,,,,,,,,,,,,4,1,,,,,,,0,,1,
Surfrider Foundation Europe,"Paseo Mar?timo Virgen del Carmen, 21-23, 29730 Rinc?n de la Victoria, M?laga, Espagne",ES,Mediterranean Sea,3000,,,20190510,Cleanup,,-4.2886328,36.71505930000001,-4.2886328,36.71505930720106,,22,,,,,,86,,,10,,,,,,,57,,,,,1,1736,,,252,44,,8,2,85,,,,,,,,,,,,22,,,,40,,,,,,,,,,,,,,,,,,,146,,96,,,,,,,,,,,,10,,,,,3,,,,1,,,,,1,,,,,,,,,,,,8,14,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,15,,52,,,,,,,,17,,,0
Perseus,IMS-METU beach,TR,Mediterranean Sea,835,Near river mouth,Sandy,20140523,Cleanup,,34.25614942833013,36.56645545044456,34.26167939433709,36.57244545643062,1,8,6,1,27,6,1,1,,1,4,,,1,,,,45,8,6,32,12,3,155,2,,68,4,5,24,10,,,,,2,,,,,,,,9,,,,,,,,,,,,,,,,,,3,,8,23,,65,,,,,,,2,,9,,,,,15,,,6,,8,,,,2,1,,,,,1,,,,1,,,,,1,,,,,,,6,5,,,,6,,,,2,,,,2,,,,,,3,,,3,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,
Legambiente Onlus,Arenile Castellammare di Stabia (NA),IT,Mediterranean Sea,100,,,20180408,Monitoring,,0.00013009132449514298,0.00036565923637331556,0.00013010030766618907,0.00036565923637331556,,8,2,,101,91,54,20,23,42,27,7,1,10,,2,2,17,3,5,6,4,5,3,4,,13,,5,15,2,1,,,,,,,,,,,2,10,,2,5,6,,2,5,,8,,,,,1,6,,,8,,26,,,58,15,478,4,,,,,,8,,,,1,48,,1,,2,14,1,4,19,3,1,1,15,1,1,,,,56,6,4,,,,17,,,3,,,2,5,11,,4,,11,3,5,4,3,,,,,,,106,109,6,,12,2,10,1,1,2,,,6,3,3,1,2,1,1,,,16,1,52,,1,,120,,,,50,3,,
Blue Flag Turkey,Sar?germe Plaj?,TR,Mediterranean Sea,90,Rural,Sandy,20201017,Monitoring,,28.6976369,36.70162769999998,28.6986139,36.7018374,38,24,,,4,1,,,,,,,,,,,,40,,,,,,817,1,,,,,12,,8,,,,,,,,,,,,20,,,,,,,,,,,,,7,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,8,,,2,,,,10,5,25,,,50,,,,1,,,,8,,,,,,10,,,20,,,,,,,,,,,,,,,1,,6,,,,,,,,,,6,
Surfrider Foundation Europe,"Passeig Migdia, 100P, 08005 Barcelona, Espa?a",ES,Mediterranean Sea,350,,,20190406,Cleanup,,2.20667,41.394079999999995,2.20667,41.39408000673898,,,,,2,3,,59,,,,,,,,,,27,,,,,,621,,,,,1,1,9,22,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,73,,4,,,,,,,,,,,,110,,,,,,,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,12,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,0
Swiss Litter Report,aare_rupperswil_badert,CH,,46,,,20180120,Cleanup,,8.11255366750715,47.410308953985734,8.112171448726803,47.410637414592294,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,aare_rupperswil_badert,CH,,46,,,20170505,Cleanup,,8.11255366750715,47.410308953985734,8.112171448726803,47.410637414592294,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,1,0,0,0,,,,0,,0,0,0,,,1,0,0,0,0,1,0,0,0,,,,,0,,0,0,0,,0,0,0,9,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,aare_rupperswil_badert,CH,,46,,,20170413,Cleanup,,8.11255366750715,47.410308953985734,8.112171448726803,47.410637414592294,,0,1,,2,0,,0,,,0,,,,,,,0,0,0,0,0,0,9,0,,0,0,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,1,,0,0,0,,0,,,0,,0,0,0,0,,,,1,,1,0,0,,,0,0,0,0,0,0,4,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,0,0,0,0
Marnoba,"Almaciga, Santa Cruz de Tenerife",ES,North-east Atlantic Ocean,100,Rural,Sandy,20181020,Cleanup,,-16.19277763,28.571945189999997,-16.191777629999997,28.571945189999997,,12,,,1,,,,,,,,,,,,,54,,,,,,46,,,,,,,,6,,,,,,,,,,,,45,,,,,,,,,1,,,,,0,,,,,,,,,999,,,,,,,,,,,,,,15,28,,,,,,,48,,,,,,,,,,,1,,,,,,,,11,,,,,,,,,,5,3,,,,,,,,,5,2,,2,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
CleanPiterCoast,Lahta,RU,Baltic Sea,107,Urban,Other (mixed),20191006,Monitoring,,30.14859505809734,59.9881316215059,30.146677940093305,59.98824686707953,,1,1,,1,,,,2,,,,,,,,,13,,7,,,,78,3,,32,2,,,5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,2,,1,,,,,72,3,,,1,2,,,10,3,,,,,,,,3,2,41,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3
CleanPiterCoast,Lahta,RU,Baltic Sea,107,Urban,Other (mixed),20170608,Cleanup,,30.14859505809734,59.9881316215059,30.146677940093305,59.98824686707953,,0,21,72,,1,,0,,,,,,,,,,3,0,,0,10,,27,1,,56,0,2,5,1,0,,,,1,,2,,,,,0,1,0,,,,,,0,,1,,,,,,,,,,,32,,,12,,198,,,,,5,1,2,,,,,43,22,,,,,,,9,,,,,,,12,,2,,,2,2,,,12,,,190,,2,,,,,,,16,,,,,,,,,,,,,,4,6,8,2,14,,,,,30,,2,,,,,,,4,,180,2,,2,,,,,90,,6,
CleanPiterCoast,Lahta,RU,Baltic Sea,107,Urban,Other (mixed),20161015,Monitoring,,30.14859505809734,59.9881316215059,30.146677940093305,59.98824686707953,,28,17,50,7,3,,1,,1,,,,1,,,,6,1,,,2,,3,,,23,,8,11,18,,,,3,2,,1,,,,,,1,,,,,,,1,,,,,,1,3,,,,,,3,,,2,,33,1,,1,,4,,1,,,,,1,54,,,,5,,,13,,1,,,,,2,,5,6,1,,,,,4,,33,72,,1,,,3,2,,,17,10,,1,1,,,,,,,1,,,9,2,5,6,6,,,,1,,,,,,1,,,,11,1,63,10,,1,6,,,,21,14,3,
Surfrider Foundation Europe,"6 All?e des Sports, 92800 Puteaux, France",,Unknown,2000,,,20190519,Cleanup,,2.2428987,48.8764821,2.2428987,48.87648210590808,,20,,,1,29,,50,,,,,,,,,,40,,,,,1,112,,,,,1,16,3,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,57,,,29,,,,,,,,,,,,,,,37,,11,,,,,,,,1,,,0
Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20180126,Cleanup,,8.55368205257308,47.27269458440369,8.553417375652712,47.27282803161404,,1,3,,0,0,,2,,,0,,,,,,,0,0,0,0,0,0,0,0,,21,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,4,,,0,0,,,,,5,1,0,0,,,,0,,0,0,0,,0,0,2,,,1,1,0,,0,3,0,,0,,,0,,1,0,0,1,,,,0,,0,0,2,,,0,1,0,0,0,3,0,0,0,,,,,0,,0,0,0,,4,1,1,0,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,0,,,,0,0,1,0
Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20170525,Cleanup,,8.55368205257308,47.27269458440369,8.553417375652712,47.27282803161404,,1,1,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,1,1,1,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,1,,,0,0,0,,0,0,0,,0,,,0,,1,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,1,0,0,0,,,,,0,,0,1,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,1,,,0,0,,,,1,0,0,0
Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20170427,Cleanup,,8.55368205257308,47.27269458440369,8.553417375652712,47.27282803161404,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,1,0,1,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,1,0
Surfrider Foundation Europe,Amager Strandpark Beach 2,DK,North-east Atlantic Ocean,84,Urban,Sandy,20141003,Cleanup,,12.649153495634593,55.6551224232027,12.648198628708396,55.65565507636696,,,,,,,,,,,,,,,,,,,,,,,1,119,,,8,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,29,,,,10,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,1,,,,,,,,,,,,3,,,,,,,,5,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Surfrider Foundation Europe,"D82 Messanges, 40660 Messanges, France",FR,North-east Atlantic Ocean,80,,,20150412,Cleanup,,-1.4045099998736865,43.816099999904296,-1.4035099997909877,43.816099999904296,,100,,,8,15,,50,,,,,,,,,,50,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,5,,,,,25,,25,,,,,,,,,,,,20,,,,,20,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Perseus,venus- Saturn,RO,Black Sea,1402,Urban,Sandy,20140616,Cleanup,,28.596477967291897,43.84197947330372,28.592809456979023,43.829646919910324,,0,3,,6,7,,0,,,,,,,,,,12,,,,,,1,,,8,,,,1,3,,,,,,,,0,,,,1,,3,,,,,,,,,,,,,,,,,,5,33,,,,0,,,,,,,,,,,,0,,,,,,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Perseus,venus- Saturn,RO,Black Sea,1402,Urban,Sandy,20150630,Cleanup,,28.596477967291897,43.84197947330372,28.592809456979023,43.829646919910324,,3,5,,6,0,,3,,,,,,,,,,7,,26,,,,36,,,5,,,,8,13,,,,,,,,0,,,,8,,0,,,,,,,,,,,,,,,,,,0,6,,,,0,,,,,,,,,,,,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Perseus,venus- Saturn,RO,Black Sea,1402,Urban,Sandy,20141007,Cleanup,,28.596477967291897,43.84197947330372,28.592809456979023,43.829646919910324,,0,6,,0,0,,0,,,,,,,,,,10,,,,,,0,,,5,,,,0,0,,,,,,,,0,,,,5,,0,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Swiss Litter Report,Rhein_Basel_HungerbuehlerN,CH,,33,,,20180129,Cleanup,,7.61034882627393,47.55821758176362,7.6099444676150885,47.55809759619177,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Limmat_Unterengstringen_OggierBührer,CH,,28,Urban,Other (mixed),20171227,Cleanup,,8.446933418391268,47.409400318984325,8.44731321351698,47.40940958945342,,3,2,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,1,1,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,
Swiss Litter Report,Limmat_Unterengstringen_OggierBührer,CH,,28,Urban,Other (mixed),20170614,Cleanup,,8.446933418391268,47.409400318984325,8.44731321351698,47.40940958945342,,1,0,,1,1,,0,,,0,,,,,,,1,0,0,0,1,1,11,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,1,2,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,1,0,0,2,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Surfrider Foundation Europe,"66 Route de la Pointe du Bill, 56860 S?n?, France",,North-east Atlantic Ocean,350,,,20190519,Cleanup,,-2.7339527,47.600351,-2.7339527,47.60035100605732,,10,,,4,,,50,,,1,,,,,,,5,,,,,,170,,,10,5,10,,2,10,,,,,,,,,1,,,,,,,10,,,10,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,5,,,,,10,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,,,,,,,5,,,,,,,,1000,,,0
Legambiente Onlus,"Spiaggia di Punta delle Formiche, Pachino (SR)",IT,Mediterranean Sea,100,,,20160501,Monitoring,,15.055260000356276,36.667319999943984,15.056260000438977,36.667319999943984,13,22,,,2,3,2,,,1,,1,,3,,9,,26,,,,,,67,,,7,,,3,7,,,2,,,,,,,,,,5,,2,,,,2,8,,,1,,3,27,5,,,6,1,,,4,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,1,,,,,,,3,1,,,,,,,,,,,3,2,,,,,,3,1,1,3,,,2,,,,1,3,6,2,1,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Surfrider Foundation Europe,"D80 Brando, 20222 Brando, France",FR,Mediterranean Sea,82,,,20150322,Cleanup,,9.46544999973776,42.757500000128445,9.46644999982046,42.757500000128445,,,2,,5,,,5,,,,,,,,,,20,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,4,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,10,,,
Surfers Against Sewage,Netley Royal Victoria country park,UK,North-east Atlantic Ocean,141,,,20150510,Cleanup,,-1.3475990478485371,50.86798197576936,-1.3492743097336972,50.868692092984006,,3,2,,2,8,,0,,,,,,,,,,3,,,,,,0,,,7,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,1,,,,,,,,1,6,,,,1,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Surfrider Foundation Europe,"33 Boulevard Albert 1er, 76400 Fécamp, France",FR,North-east Atlantic Ocean,71,,,20150605,Cleanup,,0.36215900030363324,49.7610999999394,0.36315900038633225,49.7610999999394,,20,,,3,,,15,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,15,,,3,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,10,,,
Surfrider Foundation Europe,"plage de kerler, 29170 Fouesnant, France",FR,North-east Atlantic Ocean,74,,,20150322,Cleanup,,-4.053370000029347,47.854199999740935,-4.052369999946648,47.854199999740935,,30,1,,4,,,14,,,,,,,,,,9,,,,,,18,,,,,,8,,,,,,,,,,,,,,20,,,,,,,8,,,,,,,,,,2,,,,,,,,30,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,10,,,
Surfrider Foundation Europe,"Paseo Playa de la H?pica, 3, 52006 Melilla, Espagne",MA,Mediterranean Sea,150,,,20190915,Cleanup,,-2.9314047,35.274361,-2.9314047,35.2743610073338,,363,,,72,6,,59,,,24,,,,,,,675,,,,,15,2166,,,247,27,9,56,31,26,,,,,,,,,,,,15,,,,167,,,,,,,,,,,,,,5,,,,,216,,346,,,,,,,,,,,,923,,,,,21,,,,17,,,,,,,,,,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,,,,,38,,,13,,,,,,,,,,,,,,,7,,6,,,,,,,,131,,,0
gBqsPxAZ,Plage Napoléon,FR,Mediterranean Sea,100,Near river mouth,Sandy,20180110,Cleanup,,4.883570993057836,43.354400074875684,4.884474416162651,43.355016462034335,,10,0,,4,23,,1,,,,,,,,,,142,,,,,,60,,,28,,,,0,17,,,,,,,,0,,,,1,,0,,,,,,,,,,,,,,,,,,0,272,,,,70,,,,,,,,,,,,435,,,,,,,,0,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,
Marnoba,"De Ponent, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20160507,Cleanup,,2.3876800000000005,41.499231,2.38868,41.499231,20,1,,,15,,,,,,,,,,,,,,,,,,,145,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6,,,,,,,,,,,,,,8,41,,,,,,,0,,,,,,,,,2,,,,,,,,,,6,,,18,,9,,,,,0,,,,,,,,,,,,,5,,,17,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,
gBqsPxAZ,trestraou,FR,North-east Atlantic Ocean,99,Urban,Sandy,20160506,Cleanup,,-3.4577598069938267,48.81602657605867,-3.4589597594823593,48.816440886218174,,1,,3,,1,,,,,,,,,,,,,,,,,,5,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,17,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,2,,,,,1,,,,,,,8,,,,,1,,,,,,,,,,,,,,7,,,
Surfrider Foundation Europe,"7 Plage du Mourillon, 83000 Toulon, France",FR,Mediterranean Sea,350,,,20191029,Cleanup,,5.9466201,43.10798679999999,5.9466201,43.107986806558294,,65,,,,,,,,,37,,,,,,,45,,,,,5,355,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,15,,,6,,,,,,,,,,,,,,,22,,10,,,,,,,,5,,,0
Surfrider Foundation Europe,"Passeig Migdia, 100P, 08005 Barcelona, Espa?a",ES,Mediterranean Sea,350,,,20190322,Cleanup,,2.20667,41.394079999999995,2.20667,41.39408000673898,,,,,17,,,51,,,,,,,,,,41,,,,,,2500,,,52,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,,,,,,,,,,,,,,,,,,32,,,27,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,0
HELMEPA - Hellenic Marine Environment Protection Association,3rd Glyfada Beach,GR,Mediterranean Sea,353,Urban,Sandy,20181007,Cleanup,,23.74142619380086,37.86438374517888,23.73877586906529,37.86676682058138,,15,,,20,5,1,11,2,1,,,,,,,,32,,,15,2,2,776,,1,11,,2,28,2,64,,,,,,,,,,,2,18,,2,,,,1,,,,,,,5,5,,,,,,1,,,107,,365,,,,,,,35,,,,,20,20,,5,,,,,,1,,,,,,,,,2,15,,,,,,,,,,,5,,1,14,,,48,,,2,10,,,,,,,,,,46,,5,21,,,1,,,,,,,3,7,,,,,,20,,,,,,,,55,,1,
Marnoba,"Fontaíña, Pontevedra",ES,North-east Atlantic Ocean,100,Near river mouth,Sandy,20180930,Cleanup,,-8.781110764,42.203334809999994,-8.780110764,42.203334809999994,,9,,,,,,,,,,,,,,,,,,,,,,272,,,5,,,,,15,,,,,,,,,,2,,2,,,,,,,4,,,,,,4,3,,,,,,3,,,,,,,,,,,,,15,,,,,0,,,,,,,7,9,,,,,,,,,,6,,,,,,,,4,,,,,,,,,4,0,,,,,,,1,,,3,1,,1,,5,1,,,,,,,,,,,,,,,,,1,,,,11,,,,,5,8,
Surfrider Foundation Europe,"142 Avenue Pierre Mend?s France, 13008 Marseille, France",FR,Mediterranean Sea,81,,,20150321,Cleanup,,5.373690000171535,43.2551000000657,5.374690000254233,43.2551000000657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
Marnoba,"Zarautz, Gipuzkoa",ES,North-east Atlantic Ocean,100,Near river mouth,Sandy,20180606,Cleanup,,-2.171574,43.287611,-2.1705740000000002,43.287611,,,,,1,,,,,,,,,,,,,9,,,,,,22,,,11,,,,,29,,,,,,,,,,,,12,,,,,,,,,,,,,,59,,,,,,12,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Marnoba,"Ciudad Jardín, Illes Balears",ES,Mediterranean Sea,100,Urban,Sandy,20181007,Cleanup,,2.6872222419999994,39.55333327999999,2.6882222419999997,39.55333327999999,4,4,,,1,,,1,,,1,,,,,,,15,,,,,,187,,,95,,,,,1,,,,,,,,,,,,18,4,,,,,,12,,,,,,14,12,,,,,,12,,,60,3,,,,,,,,,,,,,4,170,,,,7,,,17,15,,,,,,,,2,,,,,,,,,,24,,,,,,,,,3,0,,,,,,,,,,1,,,4,,11,3,,,,,,,1,,,,,,,,28,,1,,,,1,,,,,11,2,
Surfrider Foundation Europe,"Malou Park, Chauss?e de Stockel 45, 1200 Woluwe-Saint-Lambert, Belgique",,Unknown,350,,,20190602,Cleanup,,4.438702,50.842470299999995,4.438702,50.84247030567244,,200,,,18,12,,200,,,,,,,,,,15,,,,,,100,,,180,20,5,40,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,40,,,10,,,,,,,,,,,,,,,9,,6,,,,,,,,7,,,0
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Varigotti,IT,Mediterranean Sea,99,,,20170329,Monitoring,,8.40639,44.184169999999995,8.40739,44.184169999999995,,1,1,1,,,,,,,,,,,1,,,,,,,1,,13,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,1,2,2,,1,1,1,1,1,,1,,1,,,,,,,,,1,,,,,,,,,,2,1,1,1,,,,,,,1,1,,,,,1,1,1,1,,,,,,,1,,,,,,2,2,2,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
Surfrider Foundation Europe,"88 All?e des Aliz?s, 34280 La Grande-Motte, France",FR,Mediterranean Sea,4500,,,20190413,Cleanup,,4.0595033,43.5588173,4.0595033,43.5588173065098,,809,,,,374,,319,,,,,,,,,,,,,,,19,1366,,,,6872,5,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,12,60,,,,,,,254,,,,,,,,,,,,2367,,,,,72,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,84,,,,,,,,,,,,,,,64,,409,,,,,,,,397,,,0
