CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"Piscine, 63 Avenue de la Combattante, 14470 Courseulles-sur-Mer, France",FR,North-east Atlantic Ocean,72,,,20150322,Cleanup,,-0.4518830003760535,49.335299999774286,-0.45088300029335454,49.335299999774286,,10,,,,,,10,,,,,,,,,,15,,,,,,20,,,,20,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,5,3,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20171025,Monitoring,,10.53989,43.149280000000005,10.54089,43.149280000000005,6,2,2,2,6,6,2,6,2,2,,,,1,2,1,,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,,,,1,4,2,2,2,2,1,2,2,,,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,,4,,1,3,,1,2,3,3,,,,,2,,,12,1,1,1,,,2,,,2,5,,2,2,,2,,,,,12,2,2,,2,2,1,2,2,2,2,3,12,12,12,12,2,,2,6,2,,,1,,1,,,,,2,2,4,4,,4,,,1,1,1,1,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20170310,Monitoring,,10.53989,43.149280000000005,10.54089,43.149280000000005,6,2,2,2,6,6,2,6,2,2,,,,1,2,1,,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,,,,1,4,2,2,2,2,1,2,2,,,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,,4,,1,3,,1,2,3,3,,,,,2,,,12,1,1,1,,,2,,,2,5,,2,2,,2,,,,,12,2,2,,2,2,1,2,2,2,2,3,12,12,12,12,2,,2,6,2,,,1,,1,,,,,2,2,4,4,,4,,,1,1,1,1,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20181122,Monitoring,,10.53989,43.149280000000005,10.54089,43.149280000000005,6,2,2,2,6,6,2,6,2,2,,,,1,2,1,,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,,,,1,4,2,2,2,2,1,2,2,,,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,,4,,1,3,,1,2,3,3,,,,,2,,,12,1,1,1,,,2,,,2,5,,2,2,,2,,,,,12,2,2,,2,2,1,2,2,2,2,3,12,12,12,12,2,,2,6,2,,,1,,1,,,,,2,2,4,4,,4,,,1,1,1,1,,
Surfrider Foundation Europe,"2736 Boulevard de la Marine, 83400 Hyères, France",FR,Mediterranean Sea,81,,,20150912,Cleanup,,6.17128999966205,43.10060000028907,6.1722899997447485,43.10060000028907,,221,,,23,10,,237,,,,,,,,,,94,,,,,,242,,,35,12,,115,,35,,,,,,,,,,,,,,,,15,,,13,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,1,,33,,,,,,,,20,,,
Surfrider Foundation Europe,"Carretera Cartagena Los Alcázares, 30710 Los Alcázares, Espagne",ES,Mediterranean Sea,90,,,20160221,Cleanup,,-0.8612339996958857,37.72129999972171,-0.8602339996131866,37.72129999972171,,40,,,6,19,,47,,,,,,,,,,77,,,,,,28,,,22,2,2,58,3,29,,,,,,,,,,,,6,,,,16,,,,,,,,,,,,,,3,,,,,35,,55,,,,,,,,,,,,,,,,,3,,,,3,,,,,1,,,,,6,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,14,,35,,,,,,,,20,,,
Surfrider Foundation Europe,"1 Parco del Conero, 60020 Sirolo, Italie",IT,Mediterranean Sea,81,,,20150419,Cleanup,,13.616999999712473,43.53259999993799,13.617999999795174,43.53259999993799,,200,,,50,50,,100,,,,,,,,,,100,,,,,20,200,,,10,70,40,70,30,20,,,,,,,,,,,,80,,,,100,,,200,,,,,,,,,,2,15,,,,,100,,100,,,,,,,,,,,,100,,,,,50,,,,15,,,,,3,,,,,55,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,40,,,,,,,,,,200,,,
Surfrider Foundation Europe,"Torre de Cope, 30889 ?guilas, Murcia, Espa?a",ES,Mediterranean Sea,150,,,20190915,Cleanup,,-1.4969795,37.4333592,-1.4969795,37.43335920713318,,203,,,1,,,1,,,3,,,,,,,81,,,,,3,31,,,53,3,1,16,3,27,,,,,,,,,,,,,,,,113,,,1,,,,,,,,,,,,,,,,427,,145,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,11,,,2,,,,,,,,,,,,,,,16,,,,,,,,,,22,,,0
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20180124,Cleanup,,8.513088025706837,47.428472845868676,8.512952828358273,47.42936038271861,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20171031,Cleanup,,8.513088025706837,47.428472845868676,8.512952828358273,47.42936038271861,,,1,,,1,,1,,,,,,,,,,,,,,,,3,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
